date,spend_all
2020-11-12,-.0321
2020-11-13,-.0229
2020-11-14,-.0145
2020-11-15,-.0126
2020-11-16,-.0122
2020-11-17,-.0146
2020-11-18,-.00477
2020-11-19,-.0109
2020-11-20,-.0147
2020-11-21,-.02
2020-11-22,-.0183
2020-11-23,-.0152
2020-11-24,-.00752
2020-11-25,-.0321
2020-11-26,-.0636
2020-11-27,-.0716
2020-11-28,.0163
2020-11-29,-.0693
2020-11-30,-.0811
2020-12-1,-.0292
2020-12-2,-.0358
2020-12-3,-.0124
2020-12-4,-.0176
2020-12-5,-.0263
2020-12-6,-.0291
2020-12-7,-.0383
2020-12-8,-.0499
2020-12-9,-.0518
2020-12-10,-.0371
2020-12-11,-.0325
2020-12-12,-.0315
2020-12-13,-.0366
2020-12-14,-.0428
2020-12-15,-.0366
2020-12-16,-.037
2020-12-17,-.0412
2020-12-18,-.0405
2020-12-19,-.0379
2020-12-20,-.0398
2020-12-21,-.0111
2020-12-22,.0147
2020-12-23,-.00132
2020-12-24,.00755
2020-12-25,.00104
2020-12-26,-.0141
2020-12-27,-.0256
2020-12-28,-.0413
2020-12-29,-.0615
2020-12-30,-.0602
2020-12-31,-.0559
2021-1-1,-.04
2021-1-2,-.0335
2021-1-3,-.02
2021-1-4,-.0291
2021-1-5,-.0491
2021-1-6,.00705
2021-1-7,.0143
2021-1-8,.0177
2021-1-9,.0509
2021-1-10,.0698
2021-1-11,.0612
2021-1-12,.0561
2021-1-13,.0606
2021-1-14,.0931
2021-1-15,.0891
2021-1-16,.038
2021-1-17,.0483
2021-1-18,.0702
2021-1-19,.0462
2021-1-20,.0452
2021-1-21,.0176
2021-1-22,.0175
2021-1-23,.0639
2021-1-24,.041
2021-1-25,.0194
2021-1-26,-.00603
2021-1-27,-.0271
2021-1-28,-.0339
2021-1-29,-.0131
2021-1-30,.0175
2021-1-31,.0269
2021-2-1,.0295
2021-2-2,.0338
2021-2-3,.0541
2021-2-4,.0626
2021-2-5,.0647
2021-2-6,.063
2021-2-7,.0686
2021-2-8,.0702
2021-2-9,.0731
2021-2-10,.0594
2021-2-11,.0532
2021-2-12,.0562
2021-2-13,.0452
2021-2-14,.0366
2021-2-15,.0254
2021-2-16,.018
2021-2-17,.0162
2021-2-18,.00634
2021-2-19,-.00737
2021-2-20,-.000917
2021-2-21,.0102
2021-2-22,.00679
2021-2-23,.00954
2021-2-24,.00826
2021-2-25,.0222
2021-2-26,.0311
2021-2-27,.0243
2021-2-28,.016
2021-3-1,.0329
2021-3-2,.0477
2021-3-3,.0621
2021-3-4,.0565
2021-3-5,.0518
2021-3-6,.0545
2021-3-7,.0622
2021-3-8,.0558
2021-3-9,.0476
2021-3-10,.0393
2021-3-11,.0407
2021-3-12,.0473
2021-3-13,.0541
2021-3-14,.0542
2021-3-15,.057
2021-3-16,.0688
2021-3-17,.088
2021-3-18,.0996
2021-3-19,.108
2021-3-20,.109
2021-3-21,.117
2021-3-22,.124
2021-3-23,.118
2021-3-24,.0994
2021-3-25,.0899
2021-3-26,.0799
2021-3-27,.071
2021-3-28,.0598
2021-3-29,.0512
2021-3-30,.0528
2021-3-31,.0609
2021-4-1,.073
2021-4-2,.0829
2021-4-3,.0917
2021-4-4,.0667
2021-4-5,.076
2021-4-6,.0801
2021-4-7,.0751
2021-4-8,.0613
2021-4-9,.0471
2021-4-10,.0339
2021-4-11,.0619
2021-4-12,.0639
2021-4-13,.0605
2021-4-14,.0593
2021-4-15,.0568
2021-4-16,.0577
2021-4-17,.0653
2021-4-18,.0682
2021-4-19,.056
2021-4-20,.0494
2021-4-21,.0771
2021-4-22,.081
2021-4-23,.0801
2021-4-24,.0734
2021-4-25,.0697
2021-4-26,.073
2021-4-27,.0732
2021-4-28,.0381
2021-4-29,.0452
2021-4-30,.0526
2021-5-1,.0521
2021-5-2,.0554
2021-5-3,.0657
2021-5-4,.0784
2021-5-5,.0864
2021-5-6,.0805
2021-5-7,.0808
2021-5-8,.0919
2021-5-9,.0869
2021-5-10,.0789
2021-5-11,.0687
2021-5-12,.0715
2021-5-13,.0792
2021-5-14,.0819
2021-5-15,.0714
2021-5-16,.0777
2021-5-17,.0866
2021-5-18,.0949
2021-5-19,.0912
2021-5-20,.0881
2021-5-21,.0837
2021-5-22,.0858
2021-5-23,.0807
2021-5-24,.0687
2021-5-25,.0672
2021-5-26,.0738
2021-5-27,.118
2021-5-28,.0841
2021-5-29,.0848
2021-5-30,.0832
2021-5-31,.098
2021-6-1,.0916
2021-6-2,.0967
2021-6-3,.0893
2021-6-4,.0822
2021-6-5,.0792
2021-6-6,.0837
2021-6-7,.0904
2021-6-8,.0819
2021-6-9,.0714
2021-6-10,.0744
2021-6-11,.0721
2021-6-12,.0695
2021-6-13,.0656
2021-6-14,.062
2021-6-15,.0627
2021-6-16,.0688
2021-6-17,.069
2021-6-18,.075
